team,salary,player,position,season
Philadelphia 76ers,1620564,Raul Neto, PG,2019-2020
Philadelphia 76ers,1620564,Kyle O'Quinn, C,2019-2020
Philadelphia 76ers,1620564,Alec Burks, SG,2019-2020
Orlando Magic,1620564,Michael Carter-Williams, PG,2019-2020
Brooklyn Nets,1620564,Wilson Chandler, SF,2019-2020
Milwaukee Bucks,1620564,Kyle Korver, SG,2019-2020
Miami Heat,1620564,Udonis Haslem, PF,2019-2020
Los Angeles Lakers,1620564,Jared Dudley, SF,2019-2020
Los Angeles Lakers,1620564,Dwight Howard, C,2019-2020
Washington Wizards,1620564,Isaiah Thomas, PG,2019-2020
LA Clippers,1620564,Patrick Patterson, PF,2019-2020
Indiana Pacers,1620564,JaKarr Sampson, SF,2019-2020
Houston Rockets,1620564,Ryan Anderson, PF,2019-2020
Houston Rockets,1620564,Thabo Sefolosha, SF,2019-2020
Houston Rockets,1620564,Tyson Chandler, C,2019-2020
Oklahoma City Thunder,1620564,Justin Patton, C,2019-2020
Detroit Pistons,1620564,Tim Frazier, PG,2019-2020
Detroit Pistons,1620564,Joe Johnson, G,2019-2020
Denver Nuggets,1620564,Gerald Green, SG,2019-2020
Philadelphia 76ers,1620564,Trey Burke, PG,2019-2020
Dallas Mavericks,1620564,J.J. Barea, PG,2019-2020
Cleveland Cavaliers,1620564,Jarell Martin, F,2019-2020
Memphis Grizzlies,1620564,Jordan Bell, PF,2019-2020
Chicago Bulls,1620564,Shaquille Harrison, PG,2019-2020
Atlanta Hawks,1620564,Vince Carter, G,2019-2020
Charlotte Hornets,1618520,Dwayne Bacon, SG,2019-2020
Memphis Grizzlies,1618520,Dillon Brooks, SG,2019-2020
Utah Jazz,1618520,Royce O'Neale, SF,2019-2020
Oklahoma City Thunder,1618520,Abdel Nader, SF,2019-2020
New York Knicks,1618520,Damyean Dotson, SG,2019-2020
Milwaukee Bucks,1618520,Sterling Brown, SG,2019-2020
New Orleans Pelicans,1618520,Frank Jackson, PG,2019-2020
Boston Celtics,1618520,Semi Ojeleye, PF,2019-2020
Orlando Magic,1618420,Wes Iwundu, SF,2019-2020
Detroit Pistons,1600520,Dwight Buycks, G,2019-2020
New York Knicks,1599712,Mitchell Robinson, C,2019-2020
Toronto Raptors,1588231,Chris Boucher, PF,2019-2020
Toronto Raptors,1588231,Malcolm Miller, SG,2019-2020
Denver Nuggets,1588231,Monte Morris, PG,2019-2020
Chicago Bulls,1588231,Antonio Blakeney, G,2019-2020
Atlanta Hawks,1588231,Tyrone Wallace, SG,2019-2020
Philadelphia 76ers,1569360,Malachi Richardson, G,2019-2020
Portland Trail Blazers,1544951,Georgios Papagiannis, C,2019-2020
Portland Trail Blazers,1544951,Chinanu Onuaku, C,2019-2020
Indiana Pacers,1544951,Wade Baldwin IV, G,2019-2020
Detroit Pistons,1544951,Isaiah Whitehead, G,2019-2020
Chicago Bulls,1544951,Paul Zipser, F,2019-2020
Orlando Magic,1529007,Amile Jefferson, PF,2019-2020
Memphis Grizzlies,1512601,Omri Casspi, F,2019-2020
Toronto Raptors,1512601,Lorenzo Brown, G,2019-2020
Milwaukee Bucks,1512601,Isaiah Canaan, G,2019-2020
Miami Heat,1512601,Dwyane Wade, G,2019-2020
Utah Jazz,1500000,Nigel Williams-Goss, PG,2019-2020
Oklahoma City Thunder,1500000,Isaiah Roby, SF,2019-2020
Cleveland Cavaliers,1500000,Alfonzo McKinnie, SF,2019-2020
Philadelphia 76ers,1455697,Shake Milton, SG,2019-2020
Sacramento Kings,1445697,Wenyen Gabriel, PF,2019-2020
Brooklyn Nets,1445697,Theo Pinson, SG,2019-2020
Milwaukee Bucks,1445697,Thanasis Antetokounmpo, SF,2019-2020
LA Clippers,1445697,Derrick Walton Jr., G,2019-2020
Boston Celtics,1445697,Brad Wanamaker, PG,2019-2020
Brooklyn Nets,1419138,Iman Shumpert, SG,2019-2020
Charlotte Hornets,1416852,Devonte' Graham, PG,2019-2020
Memphis Grizzlies,1416852,De'Anthony Melton, SG,2019-2020
Milwaukee Bucks,1416852,Jemerrio Jones, F,2019-2020
Oklahoma City Thunder,1416852,Hamidou Diallo, SG,2019-2020
Oklahoma City Thunder,1416852,Deonte Burton, SG,2019-2020
San Antonio Spurs,1416852,Chimezie Metu, PF,2019-2020
Portland Trail Blazers,1416852,Gary Trent Jr., SG,2019-2020
Phoenix Suns,1416852,Elie Okobo, SF,2019-2020
Phoenix Suns,1416852,Jevon Carter, PG,2019-2020
Dallas Mavericks,1416852,Ryan Broekhoff, SG,2019-2020
Orlando Magic,1416852,Melvin Frazier Jr., SG,2019-2020
Minnesota Timberwolves,1416852,Jarred Vanderbilt, PF,2019-2020
Miami Heat,1416852,Duncan Robinson, SG,2019-2020
Miami Heat,1416852,Kendrick Nunn, SG,2019-2020
Indiana Pacers,1416852,Alize Johnson, PF,2019-2020
Houston Rockets,1416852,Isaiah Hartenstein, F,2019-2020
Detroit Pistons,1416852,Bruce Brown, SG,2019-2020
Detroit Pistons,1416852,Khyri Thomas, SG,2019-2020
